Features;Accuracy
[1];0.72
[2];0.74
[3];0.69
[4];0.68
[5];0.7
[6];0.87
[7];0.72
[8];0.68
[9];0.69
[10];0.72
[6, 1];0.89
[6, 2];0.84
[6, 3];0.83
[6, 4];0.81
[6, 5];0.87
[6, 7];0.94
[6, 8];0.84
[6, 9];0.83
[6, 10];0.87
[6, 7, 1];0.93
[6, 7, 2];0.9
[6, 7, 3];0.91
[6, 7, 4];0.9
[6, 7, 5];0.91
[6, 7, 8];0.89
[6, 7, 9];0.9
[6, 7, 10];0.91
[6, 7, 1, 2];0.88
[6, 7, 1, 3];0.89
[6, 7, 1, 4];0.88
[6, 7, 1, 5];0.88
[6, 7, 1, 8];0.89
[6, 7, 1, 9];0.9
[6, 7, 1, 10];0.91
[6, 7, 1, 10, 2];0.83
[6, 7, 1, 10, 3];0.82
[6, 7, 1, 10, 4];0.84
[6, 7, 1, 10, 5];0.86
[6, 7, 1, 10, 8];0.82
[6, 7, 1, 10, 9];0.87
[6, 7, 1, 10, 9, 2];0.8
[6, 7, 1, 10, 9, 3];0.86
[6, 7, 1, 10, 9, 4];0.85
[6, 7, 1, 10, 9, 5];0.86
[6, 7, 1, 10, 9, 8];0.81
[6, 7, 1, 10, 9, 3, 2];0.79
[6, 7, 1, 10, 9, 3, 4];0.82
[6, 7, 1, 10, 9, 3, 5];0.82
[6, 7, 1, 10, 9, 3, 8];0.81
[6, 7, 1, 10, 9, 3, 4, 2];0.77
[6, 7, 1, 10, 9, 3, 4, 5];0.77
[6, 7, 1, 10, 9, 3, 4, 8];0.8
[6, 7, 1, 10, 9, 3, 4, 8, 2];0.78
[6, 7, 1, 10, 9, 3, 4, 8, 5];0.76
[6, 7, 1, 10, 9, 3, 4, 8, 2, 5];0.76
